,label,token
0,[22  5],"['ميشوند', '.']"
1,[12 12  0 18 22  3 12 16 12 12 16 12 12  0  5  0  3  0 12 22  5],"['نتيجهي', 'بحث', 'بالا', 'اين', 'است', 'كه', 'فعلها', 'از', 'نظر', 'ساختمان', 'به', 'سه', 'گروه', 'ساده', '،', 'پيشوندي', 'و', 'گروهي', 'تقسيم', 'ميشوند', '.']"
2,[12  0  3  3 12 12 20 12 16 12 12 16 16 16 12 12 12  0 18 16 12 22  5],"['صورتهاي', 'گسترشيافته', 'و', 'نيز', 'الگوي', 'برجستگي', 'هر', 'كدام', 'از', 'انواع', 'فعلها', 'را', 'بدون', 'در', 'نظر', 'گرفتن', 'ويژگيهاي', 'زيرمقوله', 'آنها', 'در', 'بالا', 'ديديم', '.']"
3,[20 12 16 12  0  0 16 12 12 12  0 22 12 16 16 12 12  0  0 22  5],"['هر', 'كدام', 'از', 'فعلهاي', 'سهگانه', 'بالا', 'در', 'صورت', 'داشتن', 'شرايط', 'زيرمقوله', 'ميتوانند', 'متممهايي', 'را', 'در', 'درون', 'گروه', 'فعلي', 'داشته', 'باشند', '.']"
4,[16 12 16 12 12 12  0 22  3 12 18  0 12 16 12  0 22  5],"['در', 'زير', 'به', 'الگوي', 'برجستگي', 'گروههاي', 'فعلي', 'ميپردازيم', 'كه', 'هستهي', 'آنها', 'داراي', 'متممهايي', 'به', 'شكل', 'زير', 'است', '.']"
5,[12  0 16  0  0 22  3 22  1 12  0  0  0 22  5],"['فعل', 'لازم', 'فاقد', 'متمم', 'اسمي', 'است', 'ولي', 'ميتواند', 'همانند', 'فعلهاي', 'متعدي', 'متمم', 'قيدي', 'بگيرد', '.']"
6,[12  0 12  0  0 16 12 12  0  3 12 12  0 12 22  3 12 12 16 22  5],"['چارچوب', 'زيرمقوله', 'فعل', 'متعدي', 'تكمفعولي', 'را', 'يك', 'گروه', 'اسمي', 'و', 'يك', 'گروه', 'حرفاضافه', 'تشكيل', 'ميدهد', 'كه', 'نقش', 'مفعول', 'را', 'دارند', '.']"
7,"[12  0  0  0 12 12  3 12  0  3 12  0 22  5  3 16 12 12 12  0  3 12  0 16
 12 22  5]","['فعل', 'متعدي', 'دومفعولي', 'داراي', 'دو', 'ظرفيت', 'يعني', 'گروه', 'اسمي', 'و', 'گروه', 'حرفاضافه', 'است', '،', 'كه', 'به', 'ترتيب', 'نقش', 'مفعول', 'مستقيم', 'و', 'مفعول', 'غيرمستقيم', 'را', 'ايفا', 'ميكنند', '.']"
8,"[12  0 16 12  0 18  0 12 16 12 12  0  5 12  0  5 12  0  3 12  0 22  3 12
 12 16 12 22  5]","['فعلهاي', 'ربطي', 'در', 'چارچوب', 'زيرمقوله', 'خود', 'داراي', 'متممهايي', 'به', 'صورت', 'گروه', 'اسمي', '،', 'گروه', 'صفتي', '،', 'گروه', 'حرفاضافه', 'و', 'گروه', 'قيدي', 'هستند', 'كه', 'نقش', 'مسند', 'را', 'بازي', 'ميكنند', '.']"
9,"[12  0  0 12 12  0  3 12 12  0  3  3 12 12  0 16 16 12  0 18 22  3 12  0
 12  3 12  0 16 16 12 22  5]","['فعلهاي', 'متعدي', 'مركب', 'يك', 'گروه', 'اسمي', 'و', 'يك', 'گروه', 'صفتي', 'و', 'يا', 'دو', 'گروه', 'اسمي', 'را', 'به', 'عنوان', 'متمم', 'خود', 'دارند', 'كه', 'نقش', 'متمم', 'مفعول', 'و', 'مفعول', 'مستقيم', 'را', 'به', 'عهده', 'دارند', '.']"
10,"[12  0  0  0  0 16 12 12  0  3 12 12  0 16 12  0 18  0 22  3 16 12 12 12
  0  3  0 12 16 16 12 22  5]","['فعلهاي', 'متعدي', 'داراي', 'متمم', 'قيدي', 'از', 'يك', 'گروه', 'اسمي', 'و', 'يك', 'گروه', 'قيدي', 'در', 'مشخصههاي', 'زيرمقوله', 'خود', 'برخوردار', 'هستند', 'كه', 'به', 'ترتيب', 'نقش', 'مفعول', 'مستقيم', 'و', 'متمم', 'قيد', 'را', 'به', 'عهده', 'دارند', '.']"
11,[16 12 22  3 12 12 16  0 12 12  3 12 22  5],"['در', 'زير', 'ميبينيم', 'كه', 'اصل', 'هستهگريزي', 'در', 'بيشترين', 'گسترش', 'وابستهها', 'نيز', 'حاكم', 'است', '.']"
12,"[16 12 16 18  3 16  0 16  0 12 12  0  3 12 12 18  0 22 22 12  0 12  0 16
 16 12  0 12 22  5]","['با', 'توجه', 'به', 'آنچه', 'كه', 'در', 'بالا', 'دربارهي', 'بيشترين', 'گسترش', 'گروه', 'فعلي', 'و', 'الگوي', 'برجستگي', 'آن', 'گفته', 'شد', 'ميتوانيم', 'ساختار', 'دروني', 'گروه', 'فعلي', 'را', 'به', 'شكل', 'زير', 'نشان', 'دهيم', '.']"
13,"[ 5 12  0  5 12 12 12  0 12  0  3  3 12  6 12  0 16 12 22 16 16 12  0 22
  3 12 21 12 16  0 22  5 12  5 12 12 16 12  0 12  0  3  1 12  0  0 22  3
  0 12 16 12 12  0 22  5]","['#', 'گروه', 'فعلي', '#', 'نگارنده', 'بحث', 'ساخت', 'سازهاي', 'گروه', 'فعلي', 'و', 'اينكه', 'وابستهها', 'چه', 'رابطهي', 'ساختاري', 'با', 'هسته', 'دارند', 'را', 'به', 'فرصت', 'ديگري', 'ميگذارد', 'ولي', 'يادآوري', 'چند', 'نكته', 'را', 'لازم', 'ميداند', ':', 'الف', '(', 'اصل', 'هستهگريزي', 'در', 'توليد', 'بينشان', 'گروه', 'فعلي', 'نيز', 'همانند', 'گروه', 'اسمي', 'صادق', 'است', 'و', 'دورترين', 'وابسته', 'به', 'هسته', 'تكيهي', 'زيروبمي', 'ميگيرد', '.']"
14,"[12  5 12  0  3  1 12  0 16 20 12 12 22 12  0 22  3 16 21 12 12 12  0 16
 12 12 12  0  0 22  5]","['ب', '(', 'گروه', 'فعلي', 'نيز', 'همانند', 'گروه', 'اسمي', 'از', 'هر', 'دو', 'سو', 'ميتواند', 'گسترش', 'پيدا', 'كند', 'و', 'در', 'چنين', 'وضعيتي', 'دو', 'تكيهي', 'زيروبمي', 'در', 'دو', 'انتهاي', 'گروه', 'فعلي', 'ديده', 'ميشود', '.']"
15,"[12  0  3 12  0 12 16 12 12  0  3  0 16 12 12  0 22  3 20 12 16 18 16 12
 16 18  0 12  0 22  5  1 12  0 12  3 12 16 12 12  0 12 22 16 18  0 12  0
 12 22  5  1  5 18 22 22  5  3  0 22  5  5]","['وابستههاي', 'پسين', 'و', 'وابستههاي', 'پيشين', '1', 'تا', '5', 'جايگاه', 'ثابت', 'و', 'مشخص', 'در', 'درون', 'گروه', 'فعلي', 'دارند', 'و', 'هر', 'كدام', 'از', 'آنها', 'در', 'همنشيني', 'با', 'همديگر', 'داراي', 'محدوديتهاي', 'هموقوعي', 'هستند', '؛', 'مثلاً', 'وابستههاي', 'پيشين', '1', 'و', '2', 'بدون', 'حضور', 'وابستهي', 'پيشين', '3', 'نميتوانند', 'با', 'هم', 'تنها', 'وابستههاي', 'پيشين', 'هسته', 'باشند', '(', 'مانند', '”', 'او', 'خواهد', 'برود', '“', 'كه', 'بدساخت', 'است', ')', '.']"
16,"[12  5 12  0 12  5 12  3 12 16 12 18 12  0 22  3 16 12 12 12 16 12 22  0
 22  5]","['د', '(', 'وابستههاي', 'پيشين', '6', '،', '7', 'و', '8', 'در', 'بين', 'خود', 'جايگاه', 'ثابت', 'ندارند', 'و', 'در', 'محدوده\u200cي', 'وابستهي', '6', 'تا', '8', 'ميتوانند', 'جابجا', 'شوند', '.']"
17,[ 3 12  6 12  0 22  3  0 12  1 12  0 22  5],"['اگرچه', 'آرايش', 'اين', 'وابستهها', 'آزاد', 'است', 'ولي', 'دورترين', 'وابسته', 'هميشه', 'تكيهي', 'زيروبمي', 'ميگيرد', '.']"
18,"[12  5  0 12 12 12  0  3 12  0 12 16 12  3  0 12 12 12 12 16 12 22 12 12
 12  0 16 12  0 22  5]","['ه', '(', '\u200cثابت', 'بودن', 'جايگاه', 'وابستههاي', 'پسين', 'و', 'وابستههاي', 'پيشين', '1', 'تا', '5', 'و', 'متغير', 'بودن', 'جايگاه', 'وابستههاي', '6', 'تا', '8', 'ميتواند', 'ملاك', 'تعيين', 'ساخت', 'سازهاي', 'براي', 'گروه', 'فعلي', 'باشد', '.']"
19,[12  5 12 16 12 16 12  0 18  5 12 16 22  5],"['و', '(', 'هسته', 'با', 'توجه', 'به', 'مشخصههاي', 'زيرمقوله', 'خود', '،', 'وابستههايي', 'را', 'ميپذيرد', '.']"
20,"[12  5 12  0 16 12 12  0 12  0 22  5  3 12  0  0  3 12  0 16 12 12  0 12
  0 22  3  1 22 12 12 12 22  3 16 12  0  0 22  5]","['ز', '(', 'افعال', 'كمكي', 'در', 'جايگاه', 'وابستههاي', 'پسين', 'جايگاه', 'ثابتي', 'دارند', '،', 'ولي', 'افعال', 'كمكي', 'پيشين', 'و', 'افعال', 'وجهنما', 'در', 'بين', 'وابستههاي', 'پيشين', 'جايگاه', 'مشخصي', 'ندارند', 'و', 'بهتنهايي', 'ميتوانند', 'تشكيل', 'يك', 'جمله', 'بدهند', 'و', 'از', 'جملهي', 'پايه', 'جدا', 'شوند', '.']"
21,[16  6 12 18 16 22 12 12  0 16 12 22  5],"['به', 'اين', 'اعتبار', 'آنها', 'را', 'نميتوان', 'جزأ', 'گروه', 'فعلي', 'به', 'حساب', 'آورد', '.']"
22,[ 5 12  5 12 12 12 16 12 12  0  0 22  5],"['#', 'نكته', '#', 'ظهور', 'تكواژ', 'نفي', 'در', 'بين', 'وابستههاي', 'پيشين', 'بحثبرانگيز', 'است', '.']"
23,"[ 6 12 12 16 12 12 12  3 12 12 22  3  7 16 12  0 16 12  0 22  3  3  7 12
 22 16 12  0 12  0 22  5 18  1 12 12 22  3 16 12  0 12  0 12  0 22  5]","['اين', 'قيد', 'نفي', 'در', 'بين', 'وابستههاي', '2', 'و', '3', 'ظاهر', 'ميشود', 'و', 'اگر', 'در', 'گروه', 'فعلي', 'به', 'كار', 'رفته', 'شد', 'و', 'نيز', 'اگر', 'قرار', 'باشد', 'در', 'گروه', 'فعلي', 'عنصري', 'برجسته', 'شود', '،', 'اين', 'حتماً', 'تكواژ', 'نفي', 'است', 'كه', 'در', 'توليد', 'بينشان', 'گروه', 'فعلي', 'تكيهي', 'زيروبمي', 'ميگيرد', '.']"
